,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
132,Singapore,SG,,,,1.35,103.82,23582,recovered,2020-06-03T00:00:00Z
133,Singapore,SG,,,,1.35,103.82,23904,recovered,2020-06-04T00:00:00Z
134,Singapore,SG,,,,1.35,103.82,24209,recovered,2020-06-05T00:00:00Z
135,Singapore,SG,,,,1.35,103.82,24559,recovered,2020-06-06T00:00:00Z
136,Singapore,SG,,,,1.35,103.82,24886,recovered,2020-06-07T00:00:00Z
137,Singapore,SG,,,,1.35,103.82,25368,recovered,2020-06-08T00:00:00Z
138,Singapore,SG,,,,1.35,103.82,25877,recovered,2020-06-09T00:00:00Z
139,Singapore,SG,,,,1.35,103.82,26532,recovered,2020-06-10T00:00:00Z
140,Singapore,SG,,,,1.35,103.82,27286,recovered,2020-06-11T00:00:00Z
141,Singapore,SG,,,,1.35,103.82,28040,recovered,2020-06-12T00:00:00Z
142,Singapore,SG,,,,1.35,103.82,28808,recovered,2020-06-13T00:00:00Z
143,Singapore,SG,,,,1.35,103.82,29589,recovered,2020-06-14T00:00:00Z
144,Singapore,SG,,,,1.35,103.82,30366,recovered,2020-06-15T00:00:00Z
145,Singapore,SG,,,,1.35,103.82,31163,recovered,2020-06-16T00:00:00Z
146,Singapore,SG,,,,1.35,103.82,31938,recovered,2020-06-17T00:00:00Z
147,Singapore,SG,,,,1.35,103.82,32712,recovered,2020-06-18T00:00:00Z
148,Singapore,SG,,,,1.35,103.82,33459,recovered,2020-06-19T00:00:00Z
149,Singapore,SG,,,,1.35,103.82,34224,recovered,2020-06-20T00:00:00Z
150,Singapore,SG,,,,1.35,103.82,34942,recovered,2020-06-21T00:00:00Z
151,Singapore,SG,,,,1.35,103.82,35590,recovered,2020-06-22T00:00:00Z
152,Singapore,SG,,,,1.35,103.82,35995,recovered,2020-06-23T00:00:00Z
153,Singapore,SG,,,,1.35,103.82,36299,recovered,2020-06-24T00:00:00Z
154,Singapore,SG,,,,1.35,103.82,36604,recovered,2020-06-25T00:00:00Z
155,Singapore,SG,,,,1.35,103.82,36825,recovered,2020-06-26T00:00:00Z
156,Singapore,SG,,,,1.35,103.82,37163,recovered,2020-06-27T00:00:00Z
157,Singapore,SG,,,,1.35,103.82,37508,recovered,2020-06-28T00:00:00Z
158,Singapore,SG,,,,1.35,103.82,37985,recovered,2020-06-29T00:00:00Z
159,Singapore,SG,,,,1.35,103.82,38500,recovered,2020-06-30T00:00:00Z
160,Singapore,SG,,,,1.35,103.82,39011,recovered,2020-07-01T00:00:00Z
161,Singapore,SG,,,,1.35,103.82,39429,recovered,2020-07-02T00:00:00Z
162,Singapore,SG,,,,1.35,103.82,39769,recovered,2020-07-03T00:00:00Z
163,Singapore,SG,,,,1.35,103.82,40117,recovered,2020-07-04T00:00:00Z
164,Singapore,SG,,,,1.35,103.82,40441,recovered,2020-07-05T00:00:00Z
165,Singapore,SG,,,,1.35,103.82,40717,recovered,2020-07-06T00:00:00Z
166,Singapore,SG,,,,1.35,103.82,41002,recovered,2020-07-07T00:00:00Z
167,Singapore,SG,,,,1.35,103.82,41323,recovered,2020-07-08T00:00:00Z
168,Singapore,SG,,,,1.35,103.82,41645,recovered,2020-07-09T00:00:00Z
169,Singapore,SG,,,,1.35,103.82,41780,recovered,2020-07-10T00:00:00Z
170,Singapore,SG,,,,1.35,103.82,42026,recovered,2020-07-11T00:00:00Z
171,Singapore,SG,,,,1.35,103.82,42285,recovered,2020-07-12T00:00:00Z
172,Singapore,SG,,,,1.35,103.82,42541,recovered,2020-07-13T00:00:00Z
173,Singapore,SG,,,,1.35,103.82,42737,recovered,2020-07-14T00:00:00Z
174,Singapore,SG,,,,1.35,103.82,42988,recovered,2020-07-15T00:00:00Z
